memberid,product_name,sn_rec_rule_id,sn_rec_kxReco,sn_rec_source,sn_rec_score
AAdhLGUiwH,Groupon Getaways,1,Hotel Referral,product_name,0.361344538
AAdhLGUiwH,Groupon Getaways,2,Flight Referral,product_name,0.18487395
AAdhLGUiwH,Groupon Getaways,3,Cruise Referral,product_name,0.151260504
AAdhLGUiwH,Groupon Getaways,4,Hotel Search,product_name,0.119047619
AAdhLGUiwH,Groupon Getaways,5,Groupon Getaways,product_name,0.109243697
aAJCeBOUgN,Hotel Referral,1,Flight Referral,product_name,0.119917298
aAJCeBOUgN,Hotel Referral,2,Hotel Search,product_name,0.105444521
aAJCeBOUgN,Hotel Referral,3,Flight Search,product_name,0.072363887
aAJCeBOUgN,Hotel Referral,4,Event Referral,product_name,0.059958649
aAJCeBOUgN,Hotel Referral,5,Cruise Referral,product_name,0.052377671
aAkFkwxpjI,Package Referral,1,Hotel Referral,product_name,0.361344538
aAkFkwxpjI,Package Referral,2,Flight Referral,product_name,0.18487395
aAkFkwxpjI,Package Referral,3,Cruise Referral,product_name,0.151260504
aAkFkwxpjI,Package Referral,4,Groupon Getaways,product_name,0.109243697
aAkFkwxpjI,Package Referral,5,Hotel Search,product_name,0.075630252
aamZpSSHwe,Hotel Referral,1,Flight Referral,product_name,0.119917298
aamZpSSHwe,Hotel Referral,2,Hotel Search,product_name,0.105444521
aamZpSSHwe,Hotel Referral,3,Flight Search,product_name,0.072363887
aamZpSSHwe,Hotel Referral,4,Event Referral,product_name,0.059958649
aamZpSSHwe,Hotel Referral,5,Cruise Referral,product_name,0.052377671
AARlJWnAev,Hotel Referral,1,Flight Referral,product_name,0.119917298
AARlJWnAev,Hotel Referral,2,Hotel Search,product_name,0.105444521
AARlJWnAev,Hotel Referral,3,Flight Search,product_name,0.072363887
AARlJWnAev,Hotel Referral,4,Event Referral,product_name,0.059958649
AARlJWnAev,Hotel Referral,5,Cruise Referral,product_name,0.052377671
AAtYuoigEv,Flight Referral,1,Hotel Referral,product_name,0.256637168
AAtYuoigEv,Flight Referral,2,Flight Referral,product_name,0.126843658
AAtYuoigEv,Flight Referral,3,Hotel Search,product_name,0.105444521
AAtYuoigEv,Flight Referral,4,Flight Search,product_name,0.098748261
AAtYuoigEv,Flight Referral,5,Event Referral,product_name,0.059958649
AaXrEbDdRe,Groupon Deals,1,Hotel Referral,product_name,0.24
AaXrEbDdRe,Groupon Deals,2,Groupon Getaways,product_name,0.24
AaXrEbDdRe,Groupon Deals,3,Flight Referral,product_name,0.16
AaXrEbDdRe,Groupon Deals,4,Event Referral,product_name,0.12
AaXrEbDdRe,Groupon Deals,5,Flight Search,product_name,0.08
AayYUszbNZ,Services,1,Hotel Referral,product_name,0.263888889
AayYUszbNZ,Services,2,Flight Referral,product_name,0.213333333
AayYUszbNZ,Services,3,Hotel Search,product_name,0.166666667
AayYUszbNZ,Services,4,Event Referral,product_name,0.106666667
AayYUszbNZ,Services,5,Flight Search,product_name,0.098748261
aaZKPsDzMN,Cruise Referral,1,Hotel Referral,product_name,0.263888889
aaZKPsDzMN,Cruise Referral,2,Flight Referral,product_name,0.149305556
aaZKPsDzMN,Cruise Referral,3,Hotel Search,product_name,0.09375
aaZKPsDzMN,Cruise Referral,4,Event Referral,product_name,0.065972222
aaZKPsDzMN,Cruise Referral,5,Package Referral,product_name,0.0625
AAzoUOmUoI,Flight Search,1,Hotel Referral,product_name,0.284552846
AAzoUOmUoI,Flight Search,2,Flight Referral,product_name,0.192411924
AAzoUOmUoI,Flight Search,3,Hotel Search,product_name,0.170731707
AAzoUOmUoI,Flight Search,4,Event Referral,product_name,0.062330623
AAzoUOmUoI,Flight Search,5,Car Search,product_name,0.062330623
AbdjpByuDP,Hotel Referral,1,Hotel Referral,product_name,0.256637168
AbdjpByuDP,Hotel Referral,2,Flight Referral,product_name,0.126843658
AbdjpByuDP,Hotel Referral,3,Hotel Search,product_name,0.105444521
AbdjpByuDP,Hotel Referral,4,Flight Search,product_name,0.098748261
AbdjpByuDP,Hotel Referral,5,Event Referral,product_name,0.059958649
aBiklFkGVp,Car Referral,1,Hotel Referral,product_name,0.284552846
aBiklFkGVp,Car Referral,2,Flight Referral,product_name,0.213333333
aBiklFkGVp,Car Referral,3,Hotel Search,product_name,0.170731707
aBiklFkGVp,Car Referral,4,Event Referral,product_name,0.106666667
aBiklFkGVp,Car Referral,5,Flight Search,product_name,0.072363887
abKnvwSkgp,Flight Referral,1,Hotel Referral,product_name,0.242002782
abKnvwSkgp,Flight Referral,2,Flight Search,product_name,0.098748261
abKnvwSkgp,Flight Referral,3,Hotel Search,product_name,0.082058414
abKnvwSkgp,Flight Referral,4,Event Referral,product_name,0.059805285
abKnvwSkgp,Flight Referral,5,Cruise Referral,product_name,0.059805285
ACBwVfyXnB,Hotel Referral,1,Flight Referral,product_name,0.119917298
ACBwVfyXnB,Hotel Referral,2,Hotel Search,product_name,0.105444521
ACBwVfyXnB,Hotel Referral,3,Flight Search,product_name,0.072363887
ACBwVfyXnB,Hotel Referral,4,Event Referral,product_name,0.059958649
ACBwVfyXnB,Hotel Referral,5,Cruise Referral,product_name,0.052377671
ACMjLnfCms,Event Referral,1,Hotel Referral,product_name,0.256637168
ACMjLnfCms,Event Referral,2,Flight Referral,product_name,0.126843658
ACMjLnfCms,Event Referral,3,Hotel Search,product_name,0.088495575
ACMjLnfCms,Event Referral,4,Flight Search,product_name,0.067846608
ACMjLnfCms,Event Referral,5,Cruise Referral,product_name,0.056047198
aCMOlNjshB,Hotel Referral,1,Flight Referral,product_name,0.119917298
aCMOlNjshB,Hotel Referral,2,Hotel Search,product_name,0.105444521
aCMOlNjshB,Hotel Referral,3,Flight Search,product_name,0.072363887
aCMOlNjshB,Hotel Referral,4,Event Referral,product_name,0.059958649
aCMOlNjshB,Hotel Referral,5,Cruise Referral,product_name,0.052377671
ACQzGwilys,Hotel Referral,1,Hotel Referral,product_name,0.284552846
ACQzGwilys,Hotel Referral,2,Flight Referral,product_name,0.192411924
ACQzGwilys,Hotel Referral,3,Hotel Search,product_name,0.170731707
ACQzGwilys,Hotel Referral,4,Flight Search,product_name,0.098748261
ACQzGwilys,Hotel Referral,5,Event Referral,product_name,0.062330623
ACraGSELpS,Event Referral,1,Hotel Referral,product_name,0.256637168
ACraGSELpS,Event Referral,2,Flight Referral,product_name,0.126843658
ACraGSELpS,Event Referral,3,Hotel Search,product_name,0.088495575
ACraGSELpS,Event Referral,4,Flight Search,product_name,0.067846608
ACraGSELpS,Event Referral,5,Cruise Referral,product_name,0.056047198
AcrPgSvEZb,Flight Search,1,Hotel Referral,product_name,0.284552846
AcrPgSvEZb,Flight Search,2,Flight Referral,product_name,0.192411924
AcrPgSvEZb,Flight Search,3,Hotel Search,product_name,0.170731707
AcrPgSvEZb,Flight Search,4,Event Referral,product_name,0.062330623
AcrPgSvEZb,Flight Search,5,Car Search,product_name,0.062330623
ADhabfxMyA,Shows Referral,1,Hotel Referral,product_name,0.441860465
ADhabfxMyA,Shows Referral,2,Flight Referral,product_name,0.186046512
ADhabfxMyA,Shows Referral,3,Hotel Search,product_name,0.11627907
ADhabfxMyA,Shows Referral,4,Groupon Getaways,product_name,0.093023256
ADhabfxMyA,Shows Referral,5,Event Referral,product_name,0.093023256
adrdmRrGaN,Groupon Getaways,1,Hotel Referral,product_name,0.327380952
adrdmRrGaN,Groupon Getaways,2,Flight Referral,product_name,0.149305556
adrdmRrGaN,Groupon Getaways,3,Hotel Search,product_name,0.119047619
adrdmRrGaN,Groupon Getaways,4,Package Referral,product_name,0.077380952
adrdmRrGaN,Groupon Getaways,5,Event Referral,product_name,0.065972222
aeFWnjOAoO,Hotel Referral,1,Flight Referral,product_name,0.119917298
aeFWnjOAoO,Hotel Referral,2,Hotel Search,product_name,0.105444521
aeFWnjOAoO,Hotel Referral,3,Flight Search,product_name,0.072363887
aeFWnjOAoO,Hotel Referral,4,Event Referral,product_name,0.059958649
aeFWnjOAoO,Hotel Referral,5,Cruise Referral,product_name,0.052377671
AEGmNeBtqY,Package Referral,1,Hotel Referral,product_name,0.361344538
AEGmNeBtqY,Package Referral,2,Flight Referral,product_name,0.18487395
AEGmNeBtqY,Package Referral,3,Cruise Referral,product_name,0.151260504
AEGmNeBtqY,Package Referral,4,Groupon Getaways,product_name,0.109243697
AEGmNeBtqY,Package Referral,5,Flight Search,product_name,0.098748261
AenASejQro,Hotel Referral,1,Flight Referral,product_name,0.119917298
AenASejQro,Hotel Referral,2,Hotel Search,product_name,0.105444521
AenASejQro,Hotel Referral,3,Flight Search,product_name,0.072363887
AenASejQro,Hotel Referral,4,Event Referral,product_name,0.059958649
AenASejQro,Hotel Referral,5,Cruise Referral,product_name,0.052377671
aEoHnaexNu,Hotel Referral,1,Hotel Referral,product_name,0.242002782
aEoHnaexNu,Hotel Referral,2,Flight Referral,product_name,0.119917298
aEoHnaexNu,Hotel Referral,3,Hotel Search,product_name,0.105444521
aEoHnaexNu,Hotel Referral,4,Flight Search,product_name,0.098748261
aEoHnaexNu,Hotel Referral,5,Event Referral,product_name,0.059958649
AEpkXwRBGT,Hotel Search,1,Hotel Referral,product_name,0.35334873
AEpkXwRBGT,Hotel Search,2,Flight Search,product_name,0.145496536
AEpkXwRBGT,Hotel Search,3,Flight Referral,product_name,0.136258661
AEpkXwRBGT,Hotel Search,4,Car Search,product_name,0.076212471
AEpkXwRBGT,Hotel Search,5,Event Referral,product_name,0.069284065
aeQTcrEMeX,Flight Referral,1,Hotel Referral,product_name,0.242002782
aeQTcrEMeX,Flight Referral,2,Flight Referral,product_name,0.119917298
aeQTcrEMeX,Flight Referral,3,Hotel Search,product_name,0.105444521
aeQTcrEMeX,Flight Referral,4,Flight Search,product_name,0.098748261
aeQTcrEMeX,Flight Referral,5,Event Referral,product_name,0.059958649
aeTOiEvAZd,Flight Referral,1,Hotel Referral,product_name,0.242002782
aeTOiEvAZd,Flight Referral,2,Flight Search,product_name,0.098748261
aeTOiEvAZd,Flight Referral,3,Hotel Search,product_name,0.082058414
aeTOiEvAZd,Flight Referral,4,Event Referral,product_name,0.059805285
aeTOiEvAZd,Flight Referral,5,Cruise Referral,product_name,0.059805285
aeyUuwQGsl,Hotel Referral,1,Flight Referral,product_name,0.119917298
aeyUuwQGsl,Hotel Referral,2,Hotel Search,product_name,0.105444521
aeyUuwQGsl,Hotel Referral,3,Flight Search,product_name,0.072363887
aeyUuwQGsl,Hotel Referral,4,Event Referral,product_name,0.059958649
aeyUuwQGsl,Hotel Referral,5,Cruise Referral,product_name,0.052377671
AfELFwkYeW,Cruise Referral,1,Hotel Referral,product_name,0.263888889
AfELFwkYeW,Cruise Referral,2,Flight Referral,product_name,0.149305556
AfELFwkYeW,Cruise Referral,3,Hotel Search,product_name,0.09375
AfELFwkYeW,Cruise Referral,4,Event Referral,product_name,0.065972222
AfELFwkYeW,Cruise Referral,5,Package Referral,product_name,0.0625
AfFftIfmVS,Groupon Getaways,1,Hotel Referral,product_name,0.327380952
AfFftIfmVS,Groupon Getaways,2,Flight Referral,product_name,0.130952381
AfFftIfmVS,Groupon Getaways,3,Hotel Search,product_name,0.119047619
AfFftIfmVS,Groupon Getaways,4,Package Referral,product_name,0.077380952
AfFftIfmVS,Groupon Getaways,5,Flight Search,product_name,0.072363887
aGaFpaPJNd,Car Search,1,Hotel Referral,product_name,0.380952381
aGaFpaPJNd,Car Search,2,Hotel Search,product_name,0.314285714
aGaFpaPJNd,Car Search,3,Flight Search,product_name,0.219047619
aGaFpaPJNd,Car Search,4,Flight Referral,product_name,0.149305556
aGaFpaPJNd,Car Search,5,Event Referral,product_name,0.066666667
aGEyZNKFZM,Hotel Referral,1,Flight Referral,product_name,0.119917298
aGEyZNKFZM,Hotel Referral,2,Hotel Search,product_name,0.105444521
aGEyZNKFZM,Hotel Referral,3,Flight Search,product_name,0.072363887
aGEyZNKFZM,Hotel Referral,4,Event Referral,product_name,0.059958649
aGEyZNKFZM,Hotel Referral,5,Cruise Referral,product_name,0.052377671
agngJaipwI,Hotel Referral,1,Flight Referral,product_name,0.119917298
agngJaipwI,Hotel Referral,2,Hotel Search,product_name,0.105444521
agngJaipwI,Hotel Referral,3,Flight Search,product_name,0.072363887
agngJaipwI,Hotel Referral,4,Event Referral,product_name,0.059958649
agngJaipwI,Hotel Referral,5,Cruise Referral,product_name,0.052377671
agrREIiImZ,Flight Referral,1,Hotel Referral,product_name,0.242002782
agrREIiImZ,Flight Referral,2,Flight Search,product_name,0.098748261
agrREIiImZ,Flight Referral,3,Hotel Search,product_name,0.082058414
agrREIiImZ,Flight Referral,4,Event Referral,product_name,0.059805285
agrREIiImZ,Flight Referral,5,Cruise Referral,product_name,0.059805285
AhDGfnBQfp,Groupon Getaways,1,Hotel Referral,product_name,0.327380952
AhDGfnBQfp,Groupon Getaways,2,Flight Referral,product_name,0.130952381
AhDGfnBQfp,Groupon Getaways,3,Hotel Search,product_name,0.119047619
AhDGfnBQfp,Groupon Getaways,4,Package Referral,product_name,0.077380952
AhDGfnBQfp,Groupon Getaways,5,Cruise Referral,product_name,0.06547619
AHDpkMsCmt,Flight Referral,1,Hotel Referral,product_name,0.242002782
AHDpkMsCmt,Flight Referral,2,Flight Search,product_name,0.098748261
AHDpkMsCmt,Flight Referral,3,Hotel Search,product_name,0.082058414
AHDpkMsCmt,Flight Referral,4,Event Referral,product_name,0.059805285
AHDpkMsCmt,Flight Referral,5,Cruise Referral,product_name,0.059805285
AhJkkmAGRo,Event Referral,1,Hotel Referral,product_name,0.256637168
AhJkkmAGRo,Event Referral,2,Flight Referral,product_name,0.126843658
AhJkkmAGRo,Event Referral,3,Hotel Search,product_name,0.088495575
AhJkkmAGRo,Event Referral,4,Flight Search,product_name,0.067846608
AhJkkmAGRo,Event Referral,5,Cruise Referral,product_name,0.056047198
